permutation,model,f1 score,f1 avg,class 0 f1,class 1 f1,class -1 f1,class 0 precision,class 1 precision,class -1 precision,class 0 recall,class 1 recall,class -1 recall,strategy return,period,training months,fast window,slow window,factor,max transaction
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(141)),LogisticRegression,0.9951702261031797,0.9640319289579512,0.9697253068381063,0.9486749412948675,0.9642375168690959,0.9433704798726404,0.9964763918252291,0.9965132496513249,0.9975949975949976,0.9052496798975672,0.9339869281045752,249782.03774785332,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(142)),LogisticRegression,0.9941371091074128,0.9605094490606119,0.9669383003492433,0.9432048681541583,0.9607046070460704,0.9370487364620939,0.9992836676217765,0.9971870604781997,0.9987974987974988,0.8930857874519846,0.9267973856209151,250275.206392757,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(143)),LogisticRegression,0.9948219404289289,0.9627622188587797,0.9687208216619982,0.9471202425058942,0.9625379682753966,0.9410430839002267,0.9992892679459844,0.9951151430565248,0.9980759980759981,0.9001280409731114,0.9320261437908497,250852.95558613067,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(144)),LogisticRegression,0.9940346723983831,0.95971088459891,0.9662319515603167,0.9480040254948003,0.9539406345957011,0.936568848758465,0.9957716701902748,0.9978586723768736,0.9978354978354979,0.9046094750320103,0.9137254901960784,250540.29897573928,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(145)),LogisticRegression,0.9941066283187666,0.9609062835100252,0.967245599720247,0.9400609549610566,0.9649595687331537,0.9384754580411672,0.9978432782171099,0.9958275382475661,0.9978354978354979,0.8886043533930857,0.9359477124183007,250504.26950624638,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(146)),LogisticRegression,0.993995249680684,0.9603553544615276,0.9667715984610002,0.9403794037940378,0.9633120161561763,0.9382213170400543,0.9985611510791367,0.993060374739764,0.9971139971139971,0.8886043533930857,0.9352941176470588,250642.32591654907,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(147)),LogisticRegression,0.9941153253512474,0.9615716310415104,0.9677946324387396,0.937584803256445,0.9691482226693494,0.9399365367180417,0.9971139971139971,0.9951790633608816,0.9973544973544973,0.8847631241997439,0.9444444444444444,251557.17533605447,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(148)),LogisticRegression,0.9927897638811958,0.9572213061225461,0.9643230679837304,0.9321050835892186,0.9635627530364372,0.9329885315943333,0.997808619430241,0.99581589958159,0.9978354978354979,0.8745198463508322,0.9333333333333333,249632.12190143013,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(149)),LogisticRegression,0.9941202537580971,0.9601312781633597,0.966522804152572,0.9455279085406859,0.9576701659329496,0.938391845979615,0.9957507082152974,0.9936753338018272,0.9963924963924964,0.9001280409731114,0.9241830065359478,250003.06206126465,1,8,2,42,0.5,100000
LogisticRegression-p(1)-tr(8)-sw(2)-lw(42)-fa(0.5)-max(100000#(150)),LogisticRegression,0.9950347228058732,0.9637296043023439,0.9695129073706343,0.9467654986522911,0.9653315382026254,0.9425391778332954,0.9992887624466572,0.9951422623178349,0.9980759980759981,0.8994878361075545,0.9372549019607843,250141.83238387405,1,8,2,42,0.5,100000
