permutation,model,f1 score,strategy return,period,training months,fast window,slow window,factor,max transaction
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.1)-max(30000),LogisticRegression,0.9366062063077109,147132.32899686243,1,8,2,60,0.1,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.1)-max(100000),LogisticRegression,0.9342390059077392,263482.6019623691,1,8,2,60,0.1,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.25)-max(20000),LogisticRegression,0.9821455129154875,128701.63929395065,1,8,2,60,0.25,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.25)-max(30000),LogisticRegression,0.9808606707994021,143117.46051444262,1,8,2,60,0.25,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.25)-max(100000),LogisticRegression,0.982248642599175,259549.52470215043,1,8,2,60,0.25,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.5)-max(20000),LogisticRegression,0.9966970315418945,129768.7827461978,1,8,2,60,0.5,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.5)-max(30000),LogisticRegression,0.9955282989651442,142750.42264068875,1,8,2,60,0.5,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.5)-max(100000),LogisticRegression,0.9962376541467384,252557.18927549425,1,8,2,60,0.5,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.8)-max(20000),LogisticRegression,0.9909402767608848,124817.49040297547,1,8,2,60,0.8,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.8)-max(30000),LogisticRegression,0.9901007778278033,137263.8897293131,1,8,2,60,0.8,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(0.8)-max(100000),LogisticRegression,0.9913928451098422,233394.56857923168,1,8,2,60,0.8,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(1)-max(20000),LogisticRegression,0.9781839250123089,126196.23607744584,1,8,2,60,1.0,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(1)-max(30000),LogisticRegression,0.9746569518219219,138669.48720140348,1,8,2,60,1.0,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(1)-max(100000),LogisticRegression,0.9757745342947673,227104.64422469935,1,8,2,60,1.0,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(2)-max(20000),LogisticRegression,0.7904089296335637,114134.36827915479,1,8,2,60,2.0,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(2)-max(30000),LogisticRegression,0.7926479946676959,121279.59377299328,1,8,2,60,2.0,30000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(2)-max(100000),LogisticRegression,0.7897613799725705,167089.78229527024,1,8,2,60,2.0,100000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(3)-max(20000),LogisticRegression,0.31800591426638625,107124.91420797503,1,8,2,60,3.0,20000
LogisticRegression-p1-tr(8)-sw(2)-lw(60)-fa(3)-max(30000),LogisticRegression,0.3264610612858079,110346.2497410836,1,8,2,60,3.0,30000
