Time (UTC),open,high,low,close,volume
2021-12-03 08:00:00+00:00,56786.69,56851.35,56495.3,56623.05,22438797.97
2021-12-03 09:00:00+00:00,56623.05,56892.84,56486.4,56868.76,23202875.34
2021-12-03 10:00:00+00:00,56868.76,57355.28,56757.42,56900.73,64835125.51
2021-12-03 11:00:00+00:00,56900.73,57198.89,56873.0,57031.9,32053001.0
2021-12-03 12:00:00+00:00,57031.9,57234.71,56806.67,56841.83,38588561.53
2021-12-03 13:00:00+00:00,56841.83,57639.15,56802.13,56916.7,108579307.72
2021-12-03 14:00:00+00:00,56916.7,56967.37,56206.45,56268.61,105793078.27
2021-12-03 15:00:00+00:00,56268.61,56365.88,55784.44,56042.1,134913948.7
2021-12-03 16:00:00+00:00,56042.1,56042.1,54939.02,54987.7,235197276.88
2021-12-03 17:00:00+00:00,54987.7,55100.73,54646.78,55010.59,146276208.25
2021-12-03 18:00:00+00:00,55010.59,55164.89,54496.17,54889.88,101681010.48
2021-12-03 19:00:00+00:00,54889.88,54897.08,53776.63,53903.34,207466192.2
2021-12-03 20:00:00+00:00,53903.34,54015.06,52493.23,53462.57,624954101.14
2021-12-03 21:00:00+00:00,53462.57,54042.37,53362.64,53659.5,149206501.93
2021-12-03 22:00:00+00:00,53659.5,53744.47,53205.49,53443.0,83692002.59
2021-12-03 23:00:00+00:00,53443.0,53857.31,53406.22,53663.25,68933045.61
2021-12-04 00:00:00+00:00,53663.25,53871.2,53050.1,53084.86,89978910.06
2021-12-04 01:00:00+00:00,53084.86,53218.39,52673.04,53008.98,96554488.35
2021-12-04 02:00:00+00:00,53008.98,53136.97,52761.76,53109.29,60506497.91
2021-12-04 03:00:00+00:00,53109.29,53135.1,52084.46,52085.62,84962955.66
2021-12-04 04:00:00+00:00,52085.62,52636.21,49731.5,49989.66,385013335.39
2021-12-04 05:00:00+00:00,49989.66,50254.42,43563.07,47570.39,1134238663.85
2021-12-04 06:00:00+00:00,47570.39,48652.7,47155.74,47615.87,323810575.96
2021-12-04 07:00:00+00:00,47615.87,47651.58,46677.49,47290.6,186665291.7
2021-12-04 08:00:00+00:00,47290.6,47961.88,47094.81,47579.27,135595903.3
2021-12-04 09:00:00+00:00,47579.27,47746.12,47388.1,47556.81,90801736.12
2021-12-04 10:00:00+00:00,47556.81,47651.55,46912.16,47483.54,104538602.16
2021-12-04 11:00:00+00:00,47483.54,47483.54,46221.19,46590.52,108690734.57
2021-12-04 12:00:00+00:00,46590.52,47617.86,46587.25,47146.1,144571761.19
2021-12-04 13:00:00+00:00,47146.1,47501.46,46855.58,47459.19,139709862.72
2021-12-04 14:00:00+00:00,47459.19,47915.05,47340.73,47895.62,177281519.56
2021-12-04 15:00:00+00:00,47895.62,48600.03,47840.18,48284.63,201201858.12
2021-12-04 16:00:00+00:00,48284.63,48536.72,47880.97,47913.53,184451195.1
2021-12-04 17:00:00+00:00,47913.53,48412.48,47876.69,48329.2,89738640.54
2021-12-04 18:00:00+00:00,48329.2,48918.03,48233.0,48917.28,118515626.54
2021-12-04 19:00:00+00:00,48917.28,49487.56,48699.11,49337.93,145453093.46
2021-12-04 20:00:00+00:00,49337.93,49525.9,49044.22,49305.98,94699110.59
2021-12-04 21:00:00+00:00,49305.98,49397.71,48571.97,48770.35,67592305.4
