Time (UTC),open,high,low,close,volume_from,volume_to
2021-09-01 10:00:00+00:00,3540.92,3558.29,3524.35,3545.61,14328.35,50734690.73
2021-09-01 11:00:00+00:00,3545.61,3557.58,3520.09,3533.34,18432.2,65251105.28
2021-09-01 12:00:00+00:00,3533.34,3546.63,3520.94,3539.4,14139.3,50010840.62
2021-09-01 13:00:00+00:00,3539.4,3554.33,3520.73,3537.18,16282.81,57611613.51
2021-09-01 14:00:00+00:00,3537.18,3567.83,3531.75,3532.62,19252.11,68290481.71
2021-09-01 15:00:00+00:00,3532.62,3587.01,3532.05,3584.22,23579.82,83983247.63
2021-09-01 16:00:00+00:00,3584.22,3780.28,3580.67,3742.55,92855.98,342481983.38
2021-09-01 17:00:00+00:00,3742.55,3744.72,3685.33,3694.58,48256.64,179178036.19
2021-09-01 18:00:00+00:00,3694.58,3724.64,3694.25,3695.75,18972.61,70378204.12
2021-09-01 19:00:00+00:00,3695.75,3720.62,3694.49,3714.81,22788.49,84476375.91
2021-09-01 20:00:00+00:00,3714.81,3741.8,3712.12,3730.04,18190.88,67848675.6
2021-09-01 21:00:00+00:00,3730.04,3783.89,3728.53,3769.32,21010.17,78900767.72
2021-09-01 22:00:00+00:00,3769.32,3798.36,3756.17,3763.61,33412.99,126341224.87
2021-09-01 23:00:00+00:00,3763.61,3841.79,3762.27,3829.18,31369.6,119053871.88
2021-09-02 00:00:00+00:00,3829.18,3837.51,3771.48,3780.09,29646.48,112745525.09
2021-09-02 01:00:00+00:00,3780.09,3803.74,3756.3,3772.8,29858.03,112839273.63
2021-09-02 02:00:00+00:00,3772.8,3782.55,3736.25,3744.09,21519.41,80985076.31
2021-09-02 03:00:00+00:00,3744.09,3770.52,3742.7,3765.92,16611.35,62439197.01
2021-09-02 04:00:00+00:00,3765.92,3770.42,3744.85,3760.9,8978.3,33731116.19
2021-09-02 05:00:00+00:00,3760.9,3771.07,3755.25,3759.43,11048.46,41559289.03
2021-09-02 06:00:00+00:00,3759.43,3768.09,3730.82,3752.92,14596.56,54759599.06
2021-09-02 07:00:00+00:00,3752.92,3770.87,3724.1,3736.14,10376.53,38889522.64
2021-09-02 08:00:00+00:00,3736.07,3767.74,3745.18,3747.69,14444.75,54134426.18
2021-09-02 09:00:00+00:00,3747.69,3742.43,3722.5,3739.94,13037.28,48758601.03
2021-09-02 10:00:00+00:00,3739.46,3765.97,3730.3,3761.48,9361.54,35115904.38
2021-09-02 11:00:00+00:00,3761.48,3768.27,3747.23,3762.68,6852.53,25735650.17
2021-09-02 12:00:00+00:00,3762.68,3796.86,3760.63,3776.33,13488.28,50970481.59
2021-09-02 13:00:00+00:00,3776.33,3800.47,3766.83,3795.42,14326.17,54246712.4
2021-09-02 14:00:00+00:00,3795.42,3831.9,3755.51,3764.14,35736.32,135586553.42
2021-09-02 15:00:00+00:00,3764.14,3777.06,3742.97,3757.72,22817.2,85842663.64
2021-09-02 16:00:00+00:00,3757.72,3791.51,3757.65,3783.05,15015.05,56702347.73
2021-09-02 17:00:00+00:00,3783.05,3804.44,3771.71,3799.92,13545.31,51225082.54
2021-09-02 18:00:00+00:00,3799.92,3808.72,3762.95,3778.18,14428.29,54530517.02
2021-09-02 19:00:00+00:00,3778.18,3791.0,3771.16,3784.97,12548.71,47464965.25
2021-09-02 20:00:00+00:00,3784.97,3812.0,3779.1,3808.77,11928.9,45262141.24
2021-09-02 21:00:00+00:00,3808.77,3832.09,3802.6,3830.76,12595.93,48113307.45
2021-09-02 22:00:00+00:00,3830.76,3830.76,3794.71,3805.95,10938.07,41667483.35
2021-09-02 23:00:00+00:00,3805.95,3805.95,3782.37,3787.7,11365.51,43098191.23
2021-09-03 00:00:00+00:00,3787.7,3805.18,3724.46,3731.63,29271.22,110067441.15
2021-09-03 01:00:00+00:00,3731.63,3744.95,3712.13,3742.75,23790.13,88804994.59
2021-09-03 02:00:00+00:00,3742.75,3775.81,3739.07,3774.67,23313.04,87643808.58
2021-09-03 03:00:00+00:00,3774.67,3813.7,3771.51,3807.55,15804.5,59919304.92
2021-09-03 04:00:00+00:00,3807.55,3825.28,3798.27,3810.97,11155.75,42543229.48
2021-09-03 05:00:00+00:00,3810.97,3818.21,3786.2,3798.09,10859.96,41299585.48
2021-09-03 06:00:00+00:00,3798.09,3812.24,3780.41,3791.7,9900.28,37588627.28
2021-09-03 07:00:00+00:00,3791.7,3812.02,3782.33,3795.69,10875.95,41279056.63
2021-09-03 08:00:00+00:00,3795.69,3898.0,3790.91,3891.13,35782.89,138075950.89
2021-09-03 09:00:00+00:00,3891.13,3972.49,3879.11,3966.3,45329.2,178355448.88
2021-09-03 10:00:00+00:00,3966.3,3983.81,3930.67,3947.69,29722.23,117777360.87
2021-09-03 11:00:00+00:00,3947.69,3964.68,3926.52,3954.88,22435.51,88636078.0
2021-09-03 12:00:00+00:00,3954.88,3981.48,3927.8,3951.96,26969.26,106669980.21
2021-09-03 13:00:00+00:00,3951.96,3967.83,3943.32,3964.42,23163.61,91670708.28
